19,인공지능이 의사결정에 미치는 영향에 관한 연구 : 인간과 인공지능의 협업을 중심으로,이정선,숙명여자대학교 대학원,2020,국내박사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=361ae35163ae3050ffe0bdc3ef48d419&keyword=인공지능
20,인공지능(AI) 음성인식 스피커를 활용한 가정에서의 유아 대상 상호작용 영어 학습모형 개발에 관한 연구,황정혜,고려대학교 대학원,2020,국내박사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=f9b5c1621a975e3bffe0bdc3ef48d419&keyword=인공지능
21,데이터 기반 인공지능 제품서비스시스템의 지속적 사용의도에 영향을 미치는 요인에 관한 연구,김수상,숭실대학교 대학원,2019,국내박사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=6e2f4127ad9c2135ffe0bdc3ef48d419&keyword=인공지능
22,인공지능 작곡기계에 대한 연구,신동진,단국대학교 대학원,2018,국내석사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=ea0fd01eeaa037caffe0bdc3ef48d419&keyword=인공지능
23,2015 개정 교육과정에 따른 고등학교 인공지능 교과서 분석 및 평가,김지은,고려대학교 교육대학원,2021,국내석사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=ac9f04ba2c008365ffe0bdc3ef48d419&keyword=인공지능
24,컨텍스트 기반 멀티레이어 서비스 경험 : 인공지능비서 서비스를 중심으로,소신애,홍익대학교 산업미술대학원,2020,국내석사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=3c31370ceee077a7ffe0bdc3ef48d419&keyword=인공지능
25,주요국가 사례를 반영한 인공지능 교육 방향 제안 및 교재검토,김성환,전북대학교 교육대학원,2021,국내석사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=093397da9a0801a6ffe0bdc3ef48d419&keyword=인공지능
26,인공지능 교육 전문강사 프로그램 개발 및 적용,오여진,광주교육대학교 교육대학원 컴퓨터교육전공,2022,국내석사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=76cea74d7c0eafa6ffe0bdc3ef48d419&keyword=인공지능
27,인공지능을 활용한 네트워크 이상징후 탐지에 대한 연구,이국진,건국대학교 정보통신대학원,2018,국내석사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=8ba9e3c45e503b2dffe0bdc3ef48d419&keyword=인공지능
28,가전제품의 상품분류와 인증에 대한 인공지능 적용연구,오영주,호서대학교 벤처대학원,2022,국내박사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=2174653e2e3042b1ffe0bdc3ef48d419&keyword=인공지능
29,인공지능의 법인격에 관한 연구 : 권리주체를 중심으로,송지원,단국대학교 대학원,2017,국내석사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=06ce7496427efc0fffe0bdc3ef48d419&keyword=인공지능
30,인공지능분야 특허의 기술 파급에 관한 연구,정다운,한성대학교,2019,국내박사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=9c229f000ab56addffe0bdc3ef48d419&keyword=인공지능
31,인공지능(AI) 기능이 e-러닝 프로그램 성과에 미친 영향 분석,신현태,건국대학교,2018,국내석사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=5e042799f3b0c19cffe0bdc3ef48d419&keyword=인공지능
32,인공지능 분야의 유망기술 예측 : 빅데이터 분석과 기술 로드맵의 통합적 접근,정명석,아주대학교,2018,국내박사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=401d8afb7969c54fffe0bdc3ef48d419&keyword=인공지능
33,인공지능 비서의 정보 검색 향상을 위한 UX/UI 디자인 연구 : 모바일 디바이스 중심으로,조예림,서울대학교 대학원,2021,국내박사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=de7365fc41dc65deffe0bdc3ef48d419&keyword=인공지능
34,인공지능에 대한 기독학부모의 인식과 기독교 교육적 함의에 관한 연구,정형근,총신대학교 일반대학원,2022,국내석사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=44537f62727ae195ffe0bdc3ef48d419&keyword=인공지능
35,인공지능(AI) 시대의 형사적 쟁점에 관한 연구,이건필,고려대학교 대학원,2019,국내석사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=2b2108b3227ba07bffe0bdc3ef48d419&keyword=인공지능
36,국악작곡 인공지능(A·I)의 학습과 진화연산 연구 : 영산회상(靈山會相)을 중심으로,심영섭,단국대학교 대학원,2021,국내박사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=26a4c96f57b25165ffe0bdc3ef48d419&keyword=인공지능
37,인공지능에 관한 법적 규율방안 : 인공지능 알고리즘과 빅데이터의 법적규율을 중심으로,임경숙,한양대학교 법학전문대학,2019,국내박사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=4a35b0af384bc612ffe0bdc3ef48d419&keyword=인공지능
38,인공지능 기반의 식단과 운동 코칭 기획 모델  모바일 애플리케이션 UI/UX디자인 연구,정다희,한양대학교 대학원,2021,국내박사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=1de571a70f089ab3ffe0bdc3ef48d419&keyword=인공지능
39,AI시대 인공지능 제조물에 대한 손해배상 책임에 관한 연구 : 완전 자율주행자동차를 중심으로,이수경,부산대학교 대학원,2021,국내박사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=8cfed84f3418e002ffe0bdc3ef48d419&keyword=인공지능
40,인공지능(AI) 기반 로봇 의료기기의 활성화 방안 연구,오세정,成均館大學校,2019,국내석사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=add609925c97d1b0ffe0bdc3ef48d419&keyword=인공지능
41,노벨엔지니어링을 활용한 인공지능 교육프로그램 개발,김주현,서울교육대학교 교육전문대학원,2020,국내석사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=594feb20c3f99f39ffe0bdc3ef48d419&keyword=인공지능
42,초등학교 인공지능교육을 위한 언플러그드 교육 프로그램 개발 : 제약만족문제를 중심으로,장명현,경인교육대학교 교육전문대학원,2020,국내석사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=1b9abcce43b83170ffe0bdc3ef48d419&keyword=인공지능
43,미술관의 인공지능 기술 활용 연구,이소정,홍익대학교 미술대학원,2021,국내석사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=7292bccbd9f79895ffe0bdc3ef48d419&keyword=인공지능
44,인공지능 창작물에 대한 저작권법적 연구 : 저작물 성립여부와 보호방안을 중심으로,이건영,연세대학교 법무대학원,2017,국내석사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=7cfbbdad92dfe20effe0bdc3ef48d419&keyword=인공지능
45,인공지능 스피커에 대한 인식 및 범주 판단 연구,오현택,가톨릭대학교 대학원,2022,국내석사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=e7cb1e2a03c319c8ffe0bdc3ef48d419&keyword=인공지능
46,"인공지능(AI) 챗봇에 대한 의인화와 조절초점이 소비자 경험을 통해 소비자 반응에 미치는 영향 - 해석수준이론, 사회적 실재감, 설득지식모델을 중심으로 한 소비자 경험의 매개효과 연구 -",조준혁,단국대학교 일반대학원,2022,국내박사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=9babb987f6cc24e3ffe0bdc3ef48d419&keyword=인공지능
47,인공지능 미술창작에 대한 사회적 인식연구 : 언어 네트워크 분석을 중심으로,김원재,경희대학교 경영대학원,2021,국내석사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=a6036a68052429ceffe0bdc3ef48d419&keyword=인공지능
